# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 14 0 1 3 10 13586 0.22
32 32 14 0 2 6 10 13178 0.46
32 32 14 0 3 9 10 13200 0.68
32 32 14 0 4 12 10 13643 0.88
32 32 14 0 5 15 10 13244 1.13
32 32 14 0 6 18 10 13221 1.36
32 32 14 0 7 21 10 13284 1.58
32 32 14 0 8 23 10 13412 1.71
32 32 14 0 9 27 10 13388 2.02
32 32 14 0 10 30 10 13411 2.24
32 32 14 0 11 31 10 13544 2.29
32 32 14 0 12 36 10 13523 2.66
32 32 14 0 13 39 10 13729 2.84
32 32 14 0 14 42 10 13755 3.05
32 32 14 0 15 44 10 13816 3.18
32 32 14 0 16 47 10 14008 3.36
32 32 14 0 17 50 10 16071 3.11
32 32 14 0 18 54 10 14355 3.76
32 32 14 0 19 53 10 14355 3.69
32 32 14 0 20 57 10 14362 3.97
32 32 14 0 21 59 10 14336 4.12
32 32 14 0 22 52 10 14199 3.66
32 32 14 0 23 53 10 14282 3.71
32 32 14 0 24 58 10 14299 4.06
32 32 14 0 25 57 10 14400 3.96
32 32 14 0 26 61 10 14298 4.27
32 32 14 0 27 63 10 14190 4.44
32 32 14 0 28 65 10 14372 4.52
32 32 14 0 29 65 10 14393 4.52
32 32 14 0 30 67 10 14449 4.64
32 32 14 0 31 70 10 14536 4.82
32 32 14 0 32 71 10 14308 4.96
32 32 14 0 33 74 10 14379 5.15
32 32 14 0 34 76 10 14404 5.28
32 32 14 0 35 78 10 14473 5.39
32 32 14 0 36 79 10 14488 5.45
32 32 14 0 37 82 10 14587 5.62
32 32 14 0 38 84 10 14520 5.79
32 32 14 0 39 84 10 14588 5.76
32 32 14 0 40 86 10 16388 5.25
32 32 14 0 41 90 10 14651 6.14
32 32 14 0 42 93 10 14734 6.31
32 32 14 0 43 94 10 14758 6.37
32 32 14 0 44 91 10 14514 6.27
32 32 14 0 45 94 10 14627 6.43
32 32 14 0 46 97 10 14742 6.58
32 32 14 0 47 94 10 13943 6.74
32 32 14 0 48 101 10 14839 6.81
32 32 14 0 49 98 10 14413 6.80
32 32 14 0 50 100 10 15157 6.60
32 32 14 0 51 102 10 14773 6.90
32 32 14 0 52 103 10 16895 6.10
32 32 14 0 53 106 10 15657 6.77
32 32 14 0 54 106 10 15732 6.74
32 32 14 0 55 110 10 14800 7.43
32 32 14 0 56 114 10 15493 7.36
32 32 14 0 57 111 10 16450 6.75
32 32 14 0 58 116 10 15858 7.31
32 32 14 0 59 118 10 15367 7.68
32 32 14 0 60 119 10 16764 7.10
32 32 14 0 61 122 10 16846 7.24
32 32 14 0 62 124 10 17620 7.04
32 32 14 0 63 116 10 17166 6.76
32 32 14 0 64 128 10 15974 8.01
32 32 14 0 65 113 10 16055 7.04
32 32 14 0 66 132 10 16379 8.06
32 32 14 0 67 133 10 16356 8.13
32 32 14 0 68 135 10 16176 8.35
32 32 14 0 69 134 10 17832 7.51
32 32 14 0 70 138 10 16081 8.58
32 32 14 0 71 128 10 16660 7.68
32 32 14 0 72 141 10 18391 7.67
32 32 14 0 73 143 10 17326 8.25
32 32 14 0 74 138 10 17041 8.10
32 32 14 0 75 129 10 15320 8.42
32 32 14 0 76 136 10 16448 8.27
32 32 14 0 77 145 10 17959 8.07
32 32 14 0 78 148 10 17151 8.63
32 32 14 0 79 150 10 16717 8.97
32 32 14 0 80 146 10 16527 8.83
32 32 14 0 81 148 10 17847 8.29
32 32 14 0 82 135 10 18430 7.33
32 32 14 0 83 139 10 19820 7.01
32 32 14 0 84 145 10 19510 7.43
32 32 14 0 85 150 10 17149 8.75
32 32 14 0 86 154 10 17494 8.80
32 32 14 0 87 150 10 17595 8.53
32 32 14 0 88 148 10 19183 7.72
32 32 14 0 89 148 10 16252 9.11
32 32 14 0 90 154 10 16143 9.54
32 32 14 0 91 135 10 19955 6.77
32 32 14 0 92 156 10 17137 9.10
32 32 14 0 93 158 10 15958 9.90
32 32 14 0 94 159 10 18826 8.45
32 32 14 0 95 158 10 17038 9.27
32 32 14 0 96 143 10 16253 8.80
32 32 14 0 97 161 10 18246 8.82
32 32 14 0 98 157 10 17923 8.76
32 32 14 0 99 154 10 16248 9.48
32 32 14 0 100 164 10 16927 9.69
32 32 14 0 101 165 10 17350 9.51
32 32 14 0 102 168 10 17348 9.68
32 32 14 0 103 150 10 16205 9.26
32 32 14 0 104 162 10 18700 8.66
32 32 14 0 105 168 10 17258 9.73
32 32 14 0 106 165 10 17668 9.34
32 32 14 0 107 158 10 16744 9.44
32 32 14 0 108 167 10 18319 9.12
32 32 14 0 109 154 10 17156 8.98
32 32 14 0 110 159 10 16705 9.52
32 32 14 0 111 160 10 17705 9.04
32 32 14 0 112 161 10 18060 8.91
32 32 14 0 113 162 10 16991 9.53
32 32 14 0 114 157 10 16579 9.47
32 32 14 0 115 158 10 16944 9.32
32 32 14 0 116 161 10 16619 9.69
32 32 14 0 117 169 10 17760 9.52
32 32 14 0 118 159 10 17088 9.30
32 32 14 0 119 162 10 16642 9.73
32 32 14 0 120 162 10 17398 9.31
32 32 14 0 121 157 10 16018 9.80
32 32 14 0 122 162 10 16948 9.56
32 32 14 0 123 164 10 16670 9.84
32 32 14 0 124 164 10 18023 9.10
32 32 14 0 125 163 10 16835 9.68
32 32 14 0 126 159 10 17677 8.99
32 32 14 0 127 161 10 16382 9.83
32 32 14 0 128 163 10 21192 7.69
32 32 14 0 129 157 10 16394 9.58
32 32 14 0 130 157 10 15790 9.94
32 32 14 0 131 156 10 17462 8.93
32 32 14 0 132 157 10 15806 9.93
32 32 14 0 133 158 10 16956 9.32
32 32 14 0 134 161 10 16936 9.51
32 32 14 0 135 164 10 17567 9.34
32 32 14 0 136 158 10 15853 9.97
32 32 14 0 137 159 10 16300 9.75
32 32 14 0 138 159 10 16367 9.71
32 32 14 0 139 155 10 15522 9.99
32 32 14 0 140 157 10 15830 9.92
32 32 14 0 141 157 10 15749 9.97
32 32 14 0 142 158 10 16092 9.82
32 32 14 0 143 159 10 16295 9.76
32 32 14 0 144 156 10 15947 9.78
32 32 14 0 145 159 10 15781 10.08
32 32 14 0 146 155 10 15725 9.86
32 32 14 0 147 152 10 15274 9.95
32 32 14 0 148 161 10 16304 9.87
32 32 14 0 149 160 10 16131 9.92
32 32 14 0 150 160 10 16044 9.97
32 32 14 0 151 159 10 15808 10.06
32 32 14 0 152 157 10 15670 10.02
32 32 14 0 153 159 10 15512 10.25
32 32 14 0 154 159 10 15662 10.15
32 32 14 0 155 162 10 16081 10.07
32 32 14 0 156 158 10 15680 10.08
32 32 14 0 157 159 10 15758 10.09
32 32 14 0 158 160 10 15648 10.22
32 32 14 0 159 160 10 15587 10.27
32 32 14 0 160 160 10 15503 10.32
