# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 21 1 1 1 10 21865 0.05
32 32 21 1 2 2 10 15804 0.13
32 32 21 1 3 3 10 15900 0.19
32 32 21 1 4 4 10 15886 0.25
32 32 21 1 5 5 10 15858 0.32
32 32 21 1 6 6 10 15996 0.38
32 32 21 1 7 7 10 16094 0.43
32 32 21 1 8 8 10 16124 0.50
32 32 21 1 9 9 10 16097 0.56
32 32 21 1 10 10 10 16391 0.61
32 32 21 1 11 11 10 16433 0.67
32 32 21 1 12 12 10 16798 0.71
32 32 21 1 13 13 10 16532 0.79
32 32 21 1 14 14 10 16893 0.83
32 32 21 1 15 15 10 16756 0.90
32 32 21 1 16 16 10 17479 0.92
32 32 21 1 17 17 10 17277 0.98
32 32 21 1 18 18 10 20427 0.88
32 32 21 1 19 19 10 17330 1.10
32 32 21 1 20 20 10 17952 1.11
32 32 21 1 21 21 10 18779 1.12
32 32 21 1 22 22 10 19699 1.12
32 32 21 1 23 23 10 19819 1.16
32 32 21 1 24 24 10 20096 1.19
32 32 21 1 25 25 10 20074 1.25
32 32 21 1 26 26 10 20895 1.24
32 32 21 1 27 27 10 21392 1.26
32 32 21 1 28 28 10 21591 1.30
32 32 21 1 29 29 10 22744 1.28
32 32 21 1 30 30 10 22421 1.34
32 32 21 1 31 31 10 22635 1.37
32 32 21 1 32 32 10 22428 1.43
32 32 21 1 33 33 10 22960 1.44
32 32 21 1 34 34 10 23162 1.47
32 32 21 1 35 35 10 23414 1.49
32 32 21 1 36 36 10 23425 1.54
32 32 21 1 37 37 10 24539 1.51
32 32 21 1 38 38 10 24707 1.54
32 32 21 1 39 39 10 24070 1.62
32 32 21 1 40 40 10 24884 1.61
32 32 21 1 41 41 10 26386 1.55
32 32 21 1 42 42 10 26154 1.61
32 32 21 1 43 43 10 26705 1.61
32 32 21 1 44 44 10 28451 1.55
32 32 21 1 45 45 10 27387 1.64
32 32 21 1 46 46 10 28860 1.59
32 32 21 1 47 47 10 29184 1.61
32 32 21 1 48 48 10 29273 1.64
32 32 21 1 49 49 10 30185 1.62
32 32 21 1 50 50 10 31260 1.60
32 32 21 1 51 51 10 30604 1.67
32 32 21 1 52 52 10 31022 1.68
32 32 21 1 53 53 10 31578 1.68
32 32 21 1 54 54 10 35456 1.52
32 32 21 1 55 55 10 35104 1.57
32 32 21 1 56 56 10 32207 1.74
32 32 21 1 57 57 10 33321 1.71
32 32 21 1 58 58 10 33201 1.75
32 32 21 1 59 59 10 33211 1.78
32 32 21 1 60 60 10 35075 1.71
32 32 21 1 61 61 10 33430 1.82
32 32 21 1 62 62 10 33889 1.83
32 32 21 1 63 63 10 34225 1.84
32 32 21 1 64 64 10 34657 1.85
32 32 21 1 65 65 10 35410 1.84
32 32 21 1 66 66 10 35357 1.87
32 32 21 1 67 67 10 40877 1.64
32 32 21 1 68 68 10 36375 1.87
32 32 21 1 69 69 10 37152 1.86
32 32 21 1 70 70 10 43462 1.61
32 32 21 1 71 71 10 37555 1.89
32 32 21 1 72 72 10 38380 1.88
32 32 21 1 73 73 10 39094 1.87
32 32 21 1 74 74 10 43548 1.70
32 32 21 1 75 75 10 38870 1.93
32 32 21 1 76 76 10 45232 1.68
32 32 21 1 77 77 10 48277 1.59
32 32 21 1 78 78 10 41129 1.90
32 32 21 1 79 79 10 40317 1.96
32 32 21 1 80 80 10 42573 1.88
32 32 21 1 81 81 10 41228 1.96
32 32 21 1 82 82 10 43134 1.90
32 32 21 1 83 83 10 42758 1.94
32 32 21 1 84 84 10 41996 2.00
32 32 21 1 85 85 10 43362 1.96
32 32 21 1 86 86 10 47312 1.82
32 32 21 1 87 87 10 45260 1.92
32 32 21 1 88 88 10 50691 1.74
32 32 21 1 89 89 10 49469 1.80
32 32 21 1 90 90 10 47250 1.90
32 32 21 1 91 91 10 49694 1.83
32 32 21 1 92 92 10 54308 1.69
32 32 21 1 93 93 10 47884 1.94
32 32 21 1 94 94 10 51574 1.82
32 32 21 1 95 95 10 55962 1.70
32 32 21 1 96 96 10 52792 1.82
32 32 21 1 97 97 10 49633 1.95
32 32 21 1 98 98 10 49718 1.97
32 32 21 1 99 99 10 53464 1.85
32 32 21 1 100 100 10 50977 1.96
32 32 21 1 101 101 10 53082 1.90
32 32 21 1 102 102 10 58053 1.76
32 32 21 1 103 103 10 53402 1.93
32 32 21 1 104 104 10 55906 1.86
32 32 21 1 105 105 10 57109 1.84
32 32 21 1 106 106 10 61421 1.73
32 32 21 1 107 107 10 55657 1.92
32 32 21 1 108 108 10 60700 1.78
32 32 21 1 109 109 10 58980 1.85
32 32 21 1 110 110 10 65779 1.67
32 32 21 1 111 111 10 55852 1.99
32 32 21 1 112 112 10 61796 1.81
32 32 21 1 113 113 10 57075 1.98
32 32 21 1 114 114 10 64892 1.76
32 32 21 1 115 115 10 58736 1.96
32 32 21 1 116 116 10 60513 1.92
32 32 21 1 117 117 10 60511 1.93
32 32 21 1 118 118 10 60469 1.95
32 32 21 1 119 119 10 62895 1.89
32 32 21 1 120 120 10 61433 1.95
32 32 21 1 121 121 10 61876 1.96
32 32 21 1 122 122 10 68553 1.78
32 32 21 1 123 123 10 68180 1.80
32 32 21 1 124 124 10 64843 1.91
32 32 21 1 125 125 10 72770 1.72
32 32 21 1 126 126 10 71170 1.77
32 32 21 1 127 127 10 67247 1.89
32 32 21 1 128 128 10 69173 1.85
32 32 21 1 129 129 10 66752 1.93
32 32 21 1 130 130 10 69036 1.88
32 32 21 1 131 131 10 75112 1.74
32 32 21 1 132 132 10 69305 1.90
32 32 21 1 133 133 10 74020 1.80
32 32 21 1 134 134 10 75386 1.78
32 32 21 1 135 135 10 72440 1.86
32 32 21 1 136 136 10 73774 1.84
32 32 21 1 137 137 10 71132 1.93
32 32 21 1 138 138 10 73811 1.87
32 32 21 1 139 139 10 75765 1.83
32 32 21 1 140 140 10 78931 1.77
32 32 21 1 141 141 10 78635 1.79
32 32 21 1 142 142 10 76623 1.85
32 32 21 1 143 143 10 79071 1.81
32 32 21 1 144 144 10 80529 1.79
32 32 21 1 145 145 10 80433 1.80
32 32 21 1 146 146 10 79661 1.83
32 32 21 1 147 147 10 80453 1.83
32 32 21 1 148 148 10 79638 1.86
32 32 21 1 149 149 10 79991 1.86
32 32 21 1 150 150 10 81922 1.83
32 32 21 1 151 151 10 84152 1.79
32 32 21 1 152 152 10 85412 1.78
32 32 21 1 153 153 10 85863 1.78
32 32 21 1 154 154 10 86204 1.79
32 32 21 1 155 155 10 86282 1.80
32 32 21 1 156 156 10 90376 1.73
32 32 21 1 157 157 10 92005 1.71
32 32 21 1 158 158 10 91524 1.73
32 32 21 1 159 159 10 89256 1.78
32 32 21 1 160 160 10 90103 1.78
