# in_len out_len mcost tcost threads hashes req_time[s] time[ms] hashes_second
32 32 21 1 1 10 10 10218 0.98
32 32 21 1 2 20 10 10250 1.95
32 32 21 1 3 30 10 10515 2.85
32 32 21 1 4 40 10 10517 3.80
32 32 21 1 5 50 10 10641 4.70
32 32 21 1 6 60 10 10886 5.51
32 32 21 1 7 70 10 10742 6.52
32 32 21 1 8 80 10 10867 7.36
32 32 21 1 9 90 10 10958 8.21
32 32 21 1 10 96 10 10868 8.83
32 32 21 1 11 104 10 10982 9.47
32 32 21 1 12 114 10 10987 10.38
32 32 21 1 13 122 10 10901 11.19
32 32 21 1 14 127 10 10812 11.75
32 32 21 1 15 136 10 10870 12.51
32 32 21 1 16 144 10 10937 13.17
32 32 21 1 17 155 10 11024 14.06
32 32 21 1 18 164 10 10938 14.99
32 32 21 1 19 167 10 10995 15.19
32 32 21 1 20 173 10 10946 15.80
32 32 21 1 21 186 10 11041 16.85
32 32 21 1 22 184 10 11029 16.68
32 32 21 1 23 187 10 10854 17.23
32 32 21 1 24 199 10 11036 18.03
32 32 21 1 25 205 10 10988 18.66
32 32 21 1 26 201 10 11101 18.11
32 32 21 1 27 206 10 11003 18.72
32 32 21 1 28 219 10 11166 19.61
32 32 21 1 29 224 10 11042 20.29
32 32 21 1 30 225 10 11200 20.09
32 32 21 1 31 226 10 11166 20.24
32 32 21 1 32 233 10 11273 20.67
32 32 21 1 33 242 10 11073 21.85
32 32 21 1 34 236 10 11123 21.22
32 32 21 1 35 244 10 11092 22.00
32 32 21 1 36 236 10 11156 21.15
32 32 21 1 37 243 10 11255 21.59
32 32 21 1 38 259 10 12151 21.32
32 32 21 1 39 270 10 11509 23.46
32 32 21 1 40 260 10 11342 22.92
32 32 21 1 41 265 10 11208 23.64
32 32 21 1 42 278 10 11372 24.45
32 32 21 1 43 276 10 11192 24.66
32 32 21 1 44 278 10 11430 24.32
32 32 21 1 45 272 10 11373 23.92
32 32 21 1 46 293 10 11721 25.00
32 32 21 1 47 293 10 11426 25.64
32 32 21 1 48 300 10 11235 26.70
32 32 21 1 49 296 10 11286 26.23
32 32 21 1 50 291 10 11212 25.96
32 32 21 1 51 317 10 11829 26.80
32 32 21 1 52 304 10 11384 26.70
32 32 21 1 53 299 10 11353 26.34
32 32 21 1 54 321 10 11471 27.98
32 32 21 1 55 319 10 11266 28.31
32 32 21 1 56 325 10 11409 28.49
32 32 21 1 57 333 10 12350 26.96
32 32 21 1 58 324 10 11303 28.67
32 32 21 1 59 335 10 11456 29.24
32 32 21 1 60 333 10 11595 28.72
32 32 21 1 61 326 10 12900 25.27
32 32 21 1 62 329 10 11299 29.12
32 32 21 1 63 351 10 11805 29.73
32 32 21 1 64 347 10 11427 30.37
32 32 21 1 65 346 10 12104 28.59
32 32 21 1 66 353 10 12225 28.88
32 32 21 1 67 349 10 12097 28.85
32 32 21 1 68 355 10 12594 28.19
32 32 21 1 69 357 10 11383 31.36
32 32 21 1 70 366 10 11720 31.23
32 32 21 1 71 364 10 11811 30.82
32 32 21 1 72 380 10 12009 31.64
32 32 21 1 73 369 10 11849 31.14
32 32 21 1 74 368 10 12301 29.92
32 32 21 1 75 368 10 11929 30.85
32 32 21 1 76 375 10 12094 31.01
32 32 21 1 77 383 10 12020 31.86
32 32 21 1 78 377 10 11687 32.26
32 32 21 1 79 384 10 12789 30.03
32 32 21 1 80 394 10 13048 30.20
32 32 21 1 81 382 10 11979 31.89
32 32 21 1 82 379 10 11496 32.97
32 32 21 1 83 394 10 11878 33.17
32 32 21 1 84 382 10 12028 31.76
32 32 21 1 85 387 10 12036 32.15
32 32 21 1 86 389 10 12130 32.07
32 32 21 1 87 403 10 12094 33.32
32 32 21 1 88 387 10 12430 31.13
32 32 21 1 89 405 10 12195 33.21
32 32 21 1 90 398 10 11711 33.98
32 32 21 1 91 403 10 12474 32.31
32 32 21 1 92 400 10 12660 31.60
32 32 21 1 93 402 10 11766 34.17
32 32 21 1 94 390 10 12112 32.20
32 32 21 1 95 406 10 12054 33.68
32 32 21 1 96 410 10 12075 33.96
32 32 21 1 97 412 10 12648 32.57
32 32 21 1 98 405 10 11991 33.77
32 32 21 1 99 410 10 12545 32.68
32 32 21 1 100 415 10 12283 33.79
32 32 21 1 101 416 10 12108 34.36
32 32 21 1 102 416 10 12816 32.46
32 32 21 1 103 405 10 12070 33.55
32 32 21 1 104 414 10 12808 32.32
32 32 21 1 105 422 10 12434 33.94
32 32 21 1 106 413 10 12083 34.18
32 32 21 1 107 412 10 11791 34.94
32 32 21 1 108 423 10 12288 34.42
32 32 21 1 109 430 10 12077 35.60
32 32 21 1 110 418 10 11783 35.47
32 32 21 1 111 424 10 12067 35.14
32 32 21 1 112 424 10 12218 34.70
32 32 21 1 113 421 10 13169 31.97
32 32 21 1 114 429 10 12075 35.53
32 32 21 1 115 422 10 12506 33.75
32 32 21 1 116 428 10 12265 34.90
32 32 21 1 117 429 10 12195 35.18
32 32 21 1 118 437 10 12118 36.06
32 32 21 1 119 442 10 12383 35.69
32 32 21 1 120 434 10 12510 34.69
32 32 21 1 121 435 10 12687 34.29
32 32 21 1 122 439 10 12860 34.14
32 32 21 1 123 434 10 12140 35.75
32 32 21 1 124 441 10 12672 34.80
32 32 21 1 125 439 10 12766 34.39
32 32 21 1 126 442 10 12867 34.35
32 32 21 1 127 440 10 12528 35.12
32 32 21 1 128 439 10 12963 33.86
32 32 21 1 129 445 10 12679 35.10
32 32 21 1 130 346 10 12845 26.94
32 32 21 1 131 445 10 13104 33.96
32 32 21 1 132 444 10 13229 33.56
32 32 21 1 133 449 10 12563 35.74
32 32 21 1 134 436 10 13071 33.36
32 32 21 1 135 443 10 13137 33.72
32 32 21 1 136 449 10 13302 33.75
32 32 21 1 137 456 10 13705 33.27
32 32 21 1 138 451 10 14005 32.20
32 32 21 1 139 462 10 13696 33.73
32 32 21 1 140 450 10 13809 32.59
32 32 21 1 141 423 10 13193 32.06
32 32 21 1 142 425 10 12791 33.23
32 32 21 1 143 463 10 13755 33.66
32 32 21 1 144 466 10 13566 34.35
32 32 21 1 145 459 10 13479 34.05
32 32 21 1 146 460 10 13844 33.23
32 32 21 1 147 454 10 13673 33.20
32 32 21 1 148 460 10 13996 32.87
32 32 21 1 149 460 10 13566 33.91
32 32 21 1 150 455 10 13591 33.48
32 32 21 1 151 466 10 13757 33.87
32 32 21 1 152 465 10 13543 34.33
32 32 21 1 153 469 10 13788 34.01
32 32 21 1 154 466 10 13568 34.35
32 32 21 1 155 441 10 13124 33.60
32 32 21 1 156 445 10 13077 34.03
32 32 21 1 157 464 10 13234 35.06
32 32 21 1 158 459 10 13292 34.53
32 32 21 1 159 459 10 13319 34.46
32 32 21 1 160 470 10 13720 34.26
