# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0 81 1920
32 32 500 10 252 1920
32 32 500 20 464 1920
32 32 500 30 677 1920
32 32 500 40 891 1920
32 32 500 50 1103 2432
32 32 500 60 1317 2432
32 32 500 70 1532 2432
32 32 500 80 1737 2432
32 32 500 90 1956 2432
32 32 500 100 2169 2432
32 32 500 110 2379 2432
32 32 500 120 2596 2432
32 32 500 130 2808 2432
32 32 500 140 3017 2432
32 32 500 150 3234 2432
32 32 500 160 3446 2432
32 32 500 170 3659 2432
32 32 500 180 3876 2432
32 32 500 190 4092 2432
32 32 500 200 4291 2432
32 32 500 210 4509 2432
32 32 500 220 4721 2432
32 32 500 230 4942 2432
32 32 500 240 5152 2432
32 32 500 250 5368 2432
32 32 500 260 5572 2432
