# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  1 1856
32 32 500 10 13 1856
32 32 500 20 25 1856
32 32 500 30 37 1856
32 32 500 40 50 1856
32 32 500 50 62 1856
32 32 500 60 75 1920
32 32 500 70 87 1856
32 32 500 80 100 1856
32 32 500 90 112 1856
32 32 500 100 125 1856
32 32 500 110 137 1856
32 32 500 120 150 1856
32 32 500 130 162 1856
32 32 500 140 174 1920
32 32 500 150 187 1856
32 32 500 160 199 1856
32 32 500 170 212 1856
32 32 500 180 224 1856
32 32 500 190 237 1856
32 32 500 200 249 1856
32 32 500 210 261 1856
32 32 500 220 274 1856
32 32 500 230 287 1856
32 32 500 240 299 1856
32 32 500 250 311 1856
