# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  4 1920
32 32 500 10 12 1856
32 32 500 20 25 1856
32 32 500 30 37 1856
32 32 500 40 49 1856
32 32 500 50 61 1856
32 32 500 60 73 1856
32 32 500 70 85 1856
32 32 500 80 97 1856
32 32 500 90 110 1856
32 32 500 100 121 1856
32 32 500 110 133 1856
32 32 500 120 146 1920
32 32 500 130 158 1920
32 32 500 140 170 1856
32 32 500 150 182 1856
32 32 500 160 194 1856
32 32 500 170 207 1856
32 32 500 180 219 1856
32 32 500 190 231 1856
32 32 500 200 245 1856
32 32 500 210 255 1856
32 32 500 220 267 1920
32 32 500 230 279 1856
32 32 500 240 292 1856
32 32 500 250 303 1856
32 32 500 260 316 1856
