# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 14 0
32 32 14 5 399 2752
32 32 14 10 794 2752
32 32 14 15 1190 2752
32 32 14 20 1587 2752
32 32 14 25 1980 2688
32 32 14 30 2374 2752
32 32 14 35 2775 2752
32 32 14 40 3164 2752
32 32 14 45 3560 2752
32 32 14 50 3955 2752
32 32 14 55 4353 2752
32 32 14 60 4745 2752
32 32 14 65 5140 2944
32 32 14 70 5536 2944
32 32 14 75 5936 2944
32 32 14 80 6335 2944
32 32 14 85 6720 2944
32 32 14 90 7123 2944
32 32 14 95 7510 2944
32 32 14 100 7905 2944
