# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 100 0
32 32 100 1000 2392 2688
32 32 100 2000 4780 3840
32 32 100 3000 7169 3840
32 32 100 4000 9558 3840
32 32 100 5000 11948 3840
32 32 100 6000 14336 3840
32 32 100 7000 16726 3840
32 32 100 8000 19114 3840
32 32 100 9000 21504 3840
32 32 100 10000 23893 3840
32 32 100 11000 26281 3840
32 32 100 12000 28669 3840
32 32 100 13000 31058 3840
32 32 100 14000 33447 3840
32 32 100 15000 35856 3840
32 32 100 16000 38226 3840
32 32 100 17000 40644 3840
32 32 100 18000 43032 3840
32 32 100 19000 45396 3840
32 32 100 20000 47783 3840
