# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 2176
32 32 0 10000 57 2176
32 32 0 20000 114 2176
32 32 0 30000 171 2176
32 32 0 40000 227 2176
32 32 0 50000 284 2176
32 32 0 60000 341 2112
32 32 0 70000 397 2176
32 32 0 80000 454 2176
32 32 0 90000 511 2176
32 32 0 100000 568 2176
32 32 0 110000 624 2176
32 32 0 120000 681 2176
32 32 0 130000 738 2176
32 32 0 140000 795 2176
32 32 0 150000 852 2176
32 32 0 160000 908 2176
32 32 0 170000 965 2176
32 32 0 180000 1022 2176
32 32 0 190000 1079 2176
32 32 0 200000 1135 2176
32 32 0 210000 1192 2176
32 32 0 220000 1249 2176
32 32 0 230000 1306 2176
32 32 0 240000 1362 2176
32 32 0 250000 1419 2176
32 32 0 260000 1476 2176
32 32 0 270000 1533 2176
32 32 0 280000 1589 2176
32 32 0 290000 1646 2176
32 32 0 300000 1703 2112
