# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 1
32 32 0 1  3 1
32 32 0 2  4 1
32 32 0 3  5 1
32 32 0 4 18 1
32 32 0 5 11 1
32 32 0 6 16 1
32 32 0 7 21 1
32 32 0 8 32 1
32 32 0 9 43 1
32 32 0 10 64 1
32 32 0 11 86 1
32 32 0 12 128 1
32 32 0 13 173 1
32 32 0 14 257 1
32 32 0 15 343 1
32 32 0 16 514 1
32 32 0 17 685 1
32 32 0 18 1028 1
32 32 0 19 1371 1
32 32 0 20 2056 1
32 32 0 21 2741 1
32 32 0 22 4111 1
32 32 0 23 5482 1344
32 32 0 24 8225 1
32 32 0 25 10966 1
32 32 0 26 16449 1
