# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0 22 6848
32 32 10 10 161 6784
32 32 10 20 322 6848
32 32 10 30 483 6848
32 32 10 40 644 6848
32 32 10 50 804 6848
32 32 10 60 964 6784
32 32 10 70 1124 9728
32 32 10 80 1286 9728
32 32 10 90 1446 9728
32 32 10 100 1606 9728
32 32 10 110 1765 9728
32 32 10 120 1925 9728
32 32 10 130 2088 9728
32 32 10 140 2251 9728
32 32 10 150 2416 9728
32 32 10 160 2569 9728
32 32 10 170 2730 9728
32 32 10 180 2889 9728
32 32 10 190 3052 9728
32 32 10 200 3212 9728
32 32 10 210 3373 9728
32 32 10 220 3531 9728
32 32 10 230 3692 9728
32 32 10 240 3856 9728
32 32 10 250 4017 9728
32 32 10 260 4179 9728
32 32 10 270 4340 9728
32 32 10 280 4502 9728
32 32 10 290 4661 9728
32 32 10 300 4822 9728
