# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 40
32 32 1 0  0 40
32 32 2 0  0 40
32 32 3 0  0 40
32 32 4 0  0 40
32 32 5 0  0 40
32 32 6 0  0 40
32 32 7 0  0 40
32 32 8 0  0 44
32 32 9 0  0 44
32 32 10 0  0 44
32 32 20 0  0 56
32 32 30 0  1 64
32 32 40 0  1 76
32 32 50 0  1 92
32 32 60 0  1 112
32 32 70 0  1 120
32 32 80 0  1 132
32 32 90 0  1 140
32 32 100 0  2 152
32 32 200 0  3 268
32 32 300 0  4 356
32 32 400 0  5 456
32 32 500 0  6 556
32 32 600 0  6 656
32 32 700 0  7 788
32 32 800 0  8 856
32 32 900 0  8 956
32 32 1000 0  8 1056
32 32 1500 0 12 1580
32 32 2000 0 12 2056
32 32 2500 0 17 2556
32 32 3000 0 19 3056
32 32 3500 0 22 3556
32 32 4000 0 23 4056
32 32 4500 0 26 4556
32 32 5000 0 31 5056
32 32 5500 0 36 5556
32 32 6000 0 36 6068
32 32 6500 0 42 6596
32 32 7000 0 44 7056
32 32 7500 0 56 7556
32 32 8000 0 54 8056
32 32 8500 0 60 8556
32 32 9000 0 65 9056
32 32 9500 0 78 9556
32 32 10000 0 85 10056
32 32 15000 0 137 15056
32 32 20000 0 210 20060
32 32 25000 0 276 25076
32 32 30000 0 348 30092
32 32 35000 0 423 35056
32 32 40000 0 471 40056
32 32 45000 0 538 45056
32 32 50000 0 621 50056
32 32 55000 0 701 55056
32 32 60000 0 753 60056
32 32 65000 0 834 65056
32 32 70000 0 910 70056
32 32 75000 0 974 75056
32 32 80000 0 1039 80056
32 32 85000 0 1112 85056
32 32 90000 0 1181 90056
32 32 95000 0 1223 95056
32 32 100000 0 1315 100056
32 32 100000 0 1322 100056
32 32 150000 0 1966 150056
32 32 200000 0 2663 200056
32 32 250000 0 3384 250056
32 32 300000 0 4137 300056
32 32 350000 0 4723 350060
32 32 400000 0 5449 400056
32 32 450000 0 6178 450056
32 32 500000 0 6816 500056
32 32 550000 0 7483 550056
32 32 600000 0 8205 600068
32 32 650000 0 8950 650056
32 32 700000 0 9598 700056
32 32 750000 0 10229 750056
32 32 800000 0 10995 800056
32 32 850000 0 11751 850076
32 32 900000 0 12345 900056
32 32 950000 0 13029 950056
32 32 1000000 0 13776 1000056
