# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  1 216
32 32 1 0  1 216
32 32 2 0  2 212
32 32 3 0  2 216
32 32 4 0  3 216
32 32 5 0  3 216
32 32 6 0  3 212
32 32 7 0  3 216
32 32 8 0  4 216
32 32 9 0  4 212
32 32 10 0  4 216
32 32 20 0  6 212
32 32 30 0  8 212
32 32 40 0  8 216
32 32 50 0  8 212
32 32 60 0  9 216
32 32 70 0  9 212
32 32 80 0  8 216
32 32 90 0 11 468
32 32 100 0 13 472
32 32 200 0 21 468
32 32 300 0 29 468
32 32 400 0 36 736
32 32 500 0 44 736
32 32 600 0 52 732
32 32 700 0 60 996
32 32 800 0 67 996
32 32 900 0 75 1264
32 32 1000 0 83 1260
32 32 1500 0 123 1792
32 32 2000 0 172 2320
32 32 2500 0 204 2844
32 32 3000 0 244 3372
32 32 3500 0 297 3640
32 32 4000 0 329 4164
32 32 4500 0 367 4692
32 32 5000 0 407 5220
32 32 5500 0 450 5748
32 32 6000 0 488 6280
32 32 6500 0 532 6808
32 32 7000 0 572 7332
32 32 7500 0 614 7864
32 32 8000 0 660 8388
32 32 8500 0 699 8656
32 32 9000 0 742 9184
32 32 9500 0 787 9712
32 32 10000 0 834 10240
32 32 15000 0 1291 15256
32 32 20000 0 1713 20268
32 32 25000 0 2156 25288
32 32 30000 0 2597 30300
32 32 35000 0 3044 35316
32 32 40000 0 3498 40332
32 32 45000 0 3947 45352
32 32 50000 0 4384 50364
32 32 55000 0 4832 55380
32 32 60000 0 5351 60136
32 32 65000 0 5716 65152
32 32 70000 0 6233 70164
32 32 75000 0 6599 75180
32 32 80000 0 7069 80200
32 32 85000 0 7502 85216
32 32 90000 0 7934 90228
32 32 95000 0 8389 95248
32 32 100000 0 8849 100260
32 32 150000 0 13329 150156
32 32 200000 0 17810 200316
32 32 250000 0 22235 250212
32 32 300000 0 27060 300372
32 32 350000 0 31444 350268
32 32 400000 0 35746 400168
32 32 450000 0 40314 450328
32 32 500000 0 44646 500224
32 32 550000 0 49015 550384
32 32 600000 0 53493 600280
32 32 650000 0 58016 650172
32 32 700000 0 62468 700332
32 32 750000 0 67013 750232
32 32 800000 0 72748 800392
32 32 850000 0 75929 850288
32 32 900000 0 80962 900184
32 32 950000 0 85821 950340
32 32 1000000 0 89808 1000240
