# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 40
32 32 1 0  0 40
32 32 2 0  0 40
32 32 3 0  0 40
32 32 4 0  0 40
32 32 5 0  0 40
32 32 6 0  0 40
32 32 7 0  0 40
32 32 8 0  0 40
32 32 9 0  0 40
32 32 10 0  0 40
32 32 20 0  0 52
32 32 30 0  0 60
32 32 40 0  0 72
32 32 50 0  0 80
32 32 60 0  0 92
32 32 70 0  0 100
32 32 80 0  0 112
32 32 90 0  0 120
32 32 100 0  0 132
32 32 200 0  0 244
32 32 300 0  1 336
32 32 400 0  1 436
32 32 500 0  1 536
32 32 600 0  1 636
32 32 700 0  1 736
32 32 800 0  1 836
32 32 900 0  1 936
32 32 1000 0  1 1036
32 32 1500 0  2 1536
32 32 2000 0  2 2036
32 32 2500 0  3 2536
32 32 3000 0  3 3036
32 32 3500 0  4 3536
32 32 4000 0  4 4036
32 32 4500 0  5 4536
32 32 5000 0  5 5036
32 32 5500 0  6 5536
32 32 6000 0  5 6036
32 32 6500 0  6 6536
32 32 7000 0  7 7036
32 32 7500 0  7 7536
32 32 8000 0  7 8036
32 32 8500 0  5 8536
32 32 9000 0  6 9036
32 32 9500 0  7 9536
32 32 10000 0  9 10036
32 32 15000 0 11 15036
32 32 20000 0 13 20036
32 32 25000 0 15 25036
32 32 30000 0 20 30036
32 32 35000 0 25 35036
32 32 40000 0 27 40036
32 32 45000 0 36 45036
32 32 50000 0 35 50036
32 32 55000 0 37 55036
32 32 60000 0 42 60036
32 32 65000 0 43 65036
32 32 70000 0 51 70036
32 32 75000 0 51 75036
32 32 80000 0 55 80036
32 32 85000 0 63 85036
32 32 90000 0 62 90036
32 32 95000 0 66 95036
32 32 100000 0 68 100036
32 32 100000 0 71 100036
32 32 150000 0 104 150036
32 32 200000 0 132 200036
32 32 250000 0 172 250036
32 32 300000 0 199 300036
32 32 350000 0 232 350036
32 32 400000 0 263 400036
32 32 450000 0 297 450036
32 32 500000 0 331 500036
32 32 550000 0 368 550036
32 32 600000 0 396 600036
32 32 650000 0 421 650036
32 32 700000 0 463 700036
32 32 750000 0 496 750036
32 32 800000 0 521 800036
32 32 850000 0 559 850036
32 32 900000 0 588 900036
32 32 950000 0 628 950036
32 32 1000000 0 665 1000036
