# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 212
32 32 1 0  0 212
32 32 2 0  0 216
32 32 3 0  0 216
32 32 4 0  0 216
32 32 5 0  0 216
32 32 6 0  0 216
32 32 7 0  0 216
32 32 8 0  0 212
32 32 9 0  0 216
32 32 10 0  0 216
32 32 20 0  0 216
32 32 30 0  0 216
32 32 40 0  0 216
32 32 50 0  0 212
32 32 60 0  0 216
32 32 70 0  0 212
32 32 80 0  0 212
32 32 90 0  0 216
32 32 100 0  0 216
32 32 200 0  1 472
32 32 300 0  1 472
32 32 400 0  2 728
32 32 500 0  2 736
32 32 600 0  3 732
32 32 700 0  3 1000
32 32 800 0  3 1000
32 32 900 0  4 1000
32 32 1000 0  4 1260
32 32 1500 0  6 1792
32 32 2000 0  6 2312
32 32 2500 0  5 2840
32 32 3000 0  8 3112
32 32 3500 0 11 3636
32 32 4000 0  9 4164
32 32 4500 0  9 4692
32 32 5000 0 12 5220
32 32 5500 0 13 5752
32 32 6000 0 14 6276
32 32 6500 0 14 6804
32 32 7000 0 16 7328
32 32 7500 0 17 7596
32 32 8000 0 18 8124
32 32 8500 0 18 8652
32 32 9000 0 20 9180
32 32 9500 0 21 9712
32 32 10000 0 23 10236
32 32 15000 0 32 15252
32 32 20000 0 41 20272
32 32 25000 0 50 25284
32 32 30000 0 62 30300
32 32 35000 0 72 35312
32 32 40000 0 81 40328
32 32 45000 0 92 45344
32 32 50000 0 102 50100
32 32 55000 0 110 55116
32 32 60000 0 121 60136
32 32 65000 0 130 65152
32 32 70000 0 142 70164
32 32 75000 0 149 75180
32 32 80000 0 161 80200
32 32 85000 0 170 85216
32 32 90000 0 181 90232
32 32 95000 0 190 95248
32 32 100000 0 201 100264
32 32 100000 0 206 100264
32 32 150000 0 301 150156
32 32 200000 0 404 200312
32 32 250000 0 505 250212
32 32 300000 0 604 300108
32 32 350000 0 707 350268
32 32 400000 0 811 400164
32 32 450000 0 923 450320
32 32 500000 0 1015 500224
32 32 550000 0 1119 550116
32 32 600000 0 1238 600280
32 32 650000 0 1326 650176
32 32 700000 0 1426 700328
32 32 750000 0 1530 750232
32 32 800000 0 1612 800128
32 32 850000 0 1722 850284
32 32 900000 0 1827 900180
32 32 950000 0 1938 950336
32 32 1000000 0 2029 1000236
