# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  0 212
32 32 1 0  0 212
32 32 2 0  0 216
32 32 3 0  0 216
32 32 4 0  0 216
32 32 5 0  0 216
32 32 6 0  0 216
32 32 7 0  0 212
32 32 8 0  0 216
32 32 9 0  0 216
32 32 10 0  0 216
32 32 20 0  0 216
32 32 30 0  1 216
32 32 40 0  1 212
32 32 50 0  1 216
32 32 60 0  1 212
32 32 70 0  1 212
32 32 80 0  1 212
32 32 90 0  1 216
32 32 100 0  1 212
32 32 200 0  3 472
32 32 300 0  4 468
32 32 400 0  5 732
32 32 500 0  6 736
32 32 600 0  6 736
32 32 700 0  8 996
32 32 800 0  6 1000
32 32 900 0  7 996
32 32 1000 0  8 1260
32 32 1500 0 10 1792
32 32 2000 0 13 2316
32 32 2500 0 12 2584
32 32 3000 0 17 3112
32 32 3500 0 21 3640
32 32 4000 0 23 4164
32 32 4500 0 26 4696
32 32 5000 0 27 5220
32 32 5500 0 30 5752
32 32 6000 0 33 6276
32 32 6500 0 35 6804
32 32 7000 0 38 7332
32 32 7500 0 41 7596
32 32 8000 0 42 8124
32 32 8500 0 46 8652
32 32 9000 0 47 9180
32 32 9500 0 50 9708
32 32 10000 0 53 10236
32 32 15000 0 81 15256
32 32 20000 0 107 20272
32 32 25000 0 137 25284
32 32 30000 0 163 30300
32 32 35000 0 192 35316
32 32 40000 0 219 40332
32 32 45000 0 247 45088
32 32 50000 0 272 50104
32 32 55000 0 301 55116
32 32 60000 0 328 60136
32 32 65000 0 358 65148
32 32 70000 0 385 70164
32 32 75000 0 412 75184
32 32 80000 0 442 80196
32 32 85000 0 471 85212
32 32 90000 0 496 90228
32 32 95000 0 522 95244
32 32 100000 0 547 100260
32 32 100000 0 553 100260
32 32 150000 0 829 150156
32 32 200000 0 1109 200316
32 32 250000 0 1399 250212
32 32 300000 0 1667 300108
32 32 350000 0 1959 350268
32 32 400000 0 2242 400164
32 32 450000 0 2525 450324
32 32 500000 0 2794 500224
32 32 550000 0 3087 550116
32 32 600000 0 3363 600276
32 32 650000 0 3650 650172
32 32 700000 0 3928 700332
32 32 750000 0 4233 750228
32 32 800000 0 4533 800124
32 32 850000 0 4812 850284
32 32 900000 0 5100 900180
32 32 950000 0 5357 950340
32 32 1000000 0 5657 1000236
