# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 212
32 32 2 1  0 216
32 32 3 1  0 212
32 32 4 1  0 212
32 32 5 1  0 216
32 32 6 1  0 216
32 32 7 1  0 216
32 32 8 1  0 216
32 32 9 1  1 212
32 32 10 1  2 216
32 32 11 1  4 276
32 32 12 1  6 480
32 32 13 1 12 1004
32 32 14 1 21 1800
32 32 15 1 39 3116
32 32 16 1 79 6284
32 32 17 1 166 12356
32 32 18 1 362 24768
32 32 19 1 758 49320
32 32 20 1 1588 98424
32 32 21 1 3341 196684
32 32 22 1 7023 393364
32 32 23 1 14681 786460
32 32 24 1 32108 1572916
