# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 1 1  0 216
32 32 2 1  0 212
32 32 3 1  0 216
32 32 4 1  0 216
32 32 5 1  0 212
32 32 6 1  0 212
32 32 7 1  0 216
32 32 8 1  0 212
32 32 9 1  0 216
32 32 10 1  0 212
32 32 11 1  0 216
32 32 12 1  1 480
32 32 13 1  1 744
32 32 14 1  3 1268
32 32 15 1  5 2324
32 32 16 1  9 4176
32 32 17 1 16 8400
32 32 18 1 31 16584
32 32 19 1 75 32948
32 32 20 1 142 65684
32 32 21 1 295 131420
32 32 22 1 604 262364
32 32 23 1 1221 524308
32 32 24 1 2444 1048612
