# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  3 4964
32 32 400 1  8 9720
32 32 600 1 11 14468
32 32 800 1 14 19220
32 32 1000 1 18 24240
32 32 1200 1 19 28992
32 32 1400 1 28 33744
32 32 1600 1 30 38492
32 32 1800 1 32 43244
32 32 2000 1 35 48264
32 32 2200 1 39 53016
32 32 2400 1 45 57768
32 32 2600 1 45 62516
32 32 2800 1 46 67272
32 32 3000 1 54 72020
32 32 3200 1 56 77036
32 32 3400 1 59 81788
32 32 3600 1 63 86544
32 32 3800 1 64 91296
32 32 4000 1 67 96044
32 32 4200 1 71 101060
32 32 4400 1 75 105816
32 32 4600 1 79 110568
32 32 4800 1 80 115320
32 32 5000 1 85 120068
32 32 5200 1 88 125084
32 32 5400 1 91 129840
32 32 5600 1 95 134588
32 32 5800 1 98 139344
32 32 6000 1 101 144092
32 32 6200 1 105 148848
32 32 6400 1 107 153860
32 32 6600 1 111 158612
32 32 6800 1 115 163368
32 32 7000 1 118 168116
32 32 7200 1 120 172872
32 32 7400 1 123 177884
32 32 7600 1 127 182640
32 32 7800 1 132 187388
32 32 8000 1 133 192140
32 32 8200 1 136 196892
32 32 8400 1 144 201912
32 32 8600 1 144 206664
32 32 8800 1 147 211416
32 32 9000 1 151 216164
32 32 9200 1 152 220916
32 32 9400 1 157 225668
32 32 9600 1 159 230688
32 32 9800 1 163 235436
32 32 10000 1 167 240192
