# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 0 1
32 32 200 1  8 4968
32 32 400 1 16 9716
32 32 600 1 19 14472
32 32 800 1 27 19220
32 32 1000 1 31 24240
32 32 1200 1 39 28992
32 32 1400 1 45 33740
32 32 1600 1 54 38496
32 32 1800 1 58 43244
32 32 2000 1 65 48260
32 32 2200 1 70 53012
32 32 2400 1 77 57768
32 32 2600 1 83 62520
32 32 2800 1 89 67272
32 32 3000 1 95 72020
32 32 3200 1 101 77040
32 32 3400 1 110 81788
32 32 3600 1 114 86544
32 32 3800 1 121 91296
32 32 4000 1 126 96048
32 32 4200 1 133 101064
32 32 4400 1 139 105816
32 32 4600 1 145 110564
32 32 4800 1 154 115320
32 32 5000 1 158 120072
32 32 5200 1 163 125084
32 32 5400 1 172 129840
32 32 5600 1 176 134592
32 32 5800 1 182 139340
32 32 6000 1 189 144096
32 32 6200 1 194 148848
32 32 6400 1 204 153864
32 32 6600 1 208 158612
32 32 6800 1 214 163368
32 32 7000 1 221 168120
32 32 7200 1 226 172868
32 32 7400 1 233 177884
32 32 7600 1 239 182636
32 32 7800 1 245 187388
32 32 8000 1 250 192144
32 32 8200 1 257 196896
32 32 8400 1 265 201908
32 32 8600 1 270 206660
32 32 8800 1 278 211412
32 32 9000 1 282 216168
32 32 9200 1 290 220920
32 32 9400 1 294 225672
32 32 9600 1 301 230688
32 32 9800 1 306 235440
32 32 10000 1 314 240192
