# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  6 556
32 32 500 10 13 556
32 32 500 20 22 556
32 32 500 30 33 556
32 32 500 40 43 556
32 32 500 50 58 556
32 32 500 60 63 556
32 32 500 70 73 556
32 32 500 80 82 556
32 32 500 90 97 556
32 32 500 100 104 556
32 32 500 110 114 556
32 32 500 120 122 556
32 32 500 130 134 556
32 32 500 140 144 556
32 32 500 150 152 556
32 32 500 160 159 556
32 32 500 170 173 556
32 32 500 180 181 556
32 32 500 190 189 556
32 32 500 200 204 556
32 32 500 210 213 556
32 32 500 220 220 556
32 32 500 230 228 556
32 32 500 240 241 556
32 32 500 250 254 556
32 32 500 260 252 556
