# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  1 536
32 32 500 10  5 536
32 32 500 20  8 536
32 32 500 30 13 536
32 32 500 40 12 536
32 32 500 50 11 536
32 32 500 60 13 536
32 32 500 70 16 536
32 32 500 80 20 536
32 32 500 90 24 536
32 32 500 100 26 536
32 32 500 110 29 536
32 32 500 120 30 536
32 32 500 130 33 536
32 32 500 140 33 536
32 32 500 150 36 536
32 32 500 160 38 536
32 32 500 170 38 536
32 32 500 180 39 536
32 32 500 190 44 536
32 32 500 200 49 536
32 32 500 210 47 536
32 32 500 220 52 536
32 32 500 230 48 536
32 32 500 240 54 536
32 32 500 250 55 536
