# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  2 540
32 32 500 10  5 540
32 32 500 20  8 540
32 32 500 30 11 540
32 32 500 40 11 540
32 32 500 50 13 540
32 32 500 60 14 540
32 32 500 70 20 540
32 32 500 80 22 540
32 32 500 90 24 540
32 32 500 100 26 540
32 32 500 110 29 540
32 32 500 120 32 540
32 32 500 130 33 540
32 32 500 140 35 540
32 32 500 150 39 540
32 32 500 160 39 540
32 32 500 170 42 540
32 32 500 180 43 540
32 32 500 190 45 540
32 32 500 200 50 540
32 32 500 210 49 540
32 32 500 220 52 540
32 32 500 230 52 540
32 32 500 240 53 540
32 32 500 250 59 540
32 32 500 260 60 540
