# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 500 0  6 732
32 32 500 10 12 736
32 32 500 20 21 732
32 32 500 30 28 732
32 32 500 40 35 732
32 32 500 50 41 732
32 32 500 60 51 732
32 32 500 70 59 732
32 32 500 80 69 732
32 32 500 90 74 732
32 32 500 100 83 736
32 32 500 110 91 736
32 32 500 120 99 736
32 32 500 130 105 732
32 32 500 140 114 732
32 32 500 150 124 732
32 32 500 160 131 732
32 32 500 170 137 732
32 32 500 180 149 736
32 32 500 190 153 736
32 32 500 200 163 736
32 32 500 210 171 732
32 32 500 220 177 732
32 32 500 230 187 732
32 32 500 240 195 736
32 32 500 250 201 732
32 32 500 260 210 732
