# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 100 0
32 32 100 1000 599 2592
32 32 100 2000 1196 2592
32 32 100 3000 1792 2592
32 32 100 4000 2392 2592
32 32 100 5000 2986 2592
32 32 100 6000 3583 2592
32 32 100 7000 4180 2588
32 32 100 8000 4780 2588
32 32 100 9000 5377 2588
32 32 100 10000 5966 2588
32 32 100 11000 6568 2592
32 32 100 12000 7168 2592
32 32 100 13000 7766 2592
32 32 100 14000 8356 2592
32 32 100 15000 8953 2588
32 32 100 16000 9554 2588
32 32 100 17000 10160 2592
32 32 100 18000 10745 2592
32 32 100 19000 11343 2592
32 32 100 20000 11942 2588
