# in_len out_len m_cost t_cost time[ms] memory[kB]
# ERROR 32 32 100 0
32 32 100 1000 1329 2592
32 32 100 2000 2654 2588
32 32 100 3000 3977 2588
32 32 100 4000 5301 2588
32 32 100 5000 6629 2588
32 32 100 6000 7946 2588
32 32 100 7000 9284 2592
32 32 100 8000 10599 2588
32 32 100 9000 11917 2588
32 32 100 10000 13241 2588
32 32 100 11000 14584 2592
32 32 100 12000 15911 2592
32 32 100 13000 17232 2592
32 32 100 14000 18557 2592
32 32 100 15000 19859 2592
32 32 100 16000 21213 2588
32 32 100 17000 22536 2588
32 32 100 18000 23829 2588
32 32 100 19000 25601 2592
32 32 100 20000 26518 2588
