# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 0 0  2 212
32 32 0 1  4 212
32 32 0 2  5 212
32 32 0 3  5 216
32 32 0 4  9 212
32 32 0 5  9 216
32 32 0 6 12 212
32 32 0 7 15 212
32 32 0 8 21 212
32 32 0 9 26 212
32 32 0 10 39 212
32 32 0 11 48 212
32 32 0 12 71 216
32 32 0 13 94 216
32 32 0 14 141 216
32 32 0 15 187 216
32 32 0 16 278 216
32 32 0 17 369 212
32 32 0 18 557 216
32 32 0 19 741 216
32 32 0 20 1107 216
32 32 0 21 1473 212
32 32 0 22 2210 212
32 32 0 23 2952 216
32 32 0 24 4416 212
32 32 0 25 5873 216
32 32 0 26 8853 216
