# in_len out_len m_cost t_cost time[ms] memory[kB]
32 32 10 0 18 8180
32 32 10 10 119 8180
32 32 10 20 232 8176
32 32 10 30 346 8180
32 32 10 40 463 8180
32 32 10 50 575 8180
32 32 10 60 689 8176
32 32 10 70 803 8176
32 32 10 80 919 8180
32 32 10 90 1034 8180
32 32 10 100 1145 8176
32 32 10 110 1260 8176
32 32 10 120 1374 8180
32 32 10 130 1486 8180
32 32 10 140 1606 8180
32 32 10 150 1718 8176
32 32 10 160 1838 8180
32 32 10 170 1943 8180
32 32 10 180 2063 8180
32 32 10 190 2178 8180
32 32 10 200 2300 8180
32 32 10 210 2405 8176
32 32 10 220 2518 8180
32 32 10 230 2637 8180
32 32 10 240 2746 8180
32 32 10 250 2866 8180
32 32 10 260 2978 8180
32 32 10 270 3083 8176
32 32 10 280 3203 8180
32 32 10 290 3309 8180
32 32 10 300 3426 8176
